17,16109,Paraiso do Tocantins,6340,1
17,16208,Parana,6241,1
17,16307,Pau DArco,6142,1
17,16505,Pedro Afonso,5944,1
17,16604,Peixe,5845,1
17,16653,Pequizeiro,5796,1
17,16703,Colmeia,5746,1
17,17008,Pindorama do Tocantins,5441,1
17,17206,Piraque,5243,1
17,17503,Pium,4946,1
17,17800,Ponte Alta do Bom Jesus,4649,1
17,17909,Ponte Alta do Tocantins,4540,1
17,18006,Porto Alegre do Tocantins,4443,1
17,18204,Porto Nacional,4245,1
17,18303,Praia Norte,4146,1
17,18402,Presidente Kennedy,4047,1
17,18451,Pugmil,3998,1
17,18501,Recursolandia,3948,1
17,18550,Riachinho,3899,1
17,18659,Rio da Conceicao,3790,1
17,18709,Rio dos Bois,3740,1
17,18758,Rio Sono,3691,1
17,18808,Sampaio,3641,2
17,18840,Sandolandia,3609,1
17,18865,Santa Fe do Araguaia,3584,1
17,18881,Santa Maria do Tocantins,3568,1
17,18899,Santa Rita do Tocantins,3550,1
17,18907,Santa Rosa do Tocantins,3542,1
17,19004,Santa Tereza do Tocantins,3445,1
17,20002,Santa Terezinha do Tocantins,2447,1
17,20101,Sao Bento do Tocantins,2348,1
17,20150,Sao Felix do Tocantins,2299,1
17,20200,Sao Miguel do Tocantins,2249,1
17,20259,Sao Salvador do Tocantins,2190,1
17,20309,Sao Sebastiao do Tocantins,2140,1
17,20499,Sao Valerio,1950,1
17,20655,Silvanopolis,1794,1
17,20804,Sitio Novo do Tocantins,1645,1
17,20853,Sucupira,1596,1
17,20903,Taguatinga,1546,1
17,20937,Taipas do Tocantins,1512,1
17,20978,Talisma,1471,1
17,21000,Palmas,1449,1
17,21109,Tocantinia,1340,1
17,21208,Tocantinopolis,1241,1
17,21257,Tupirama,1192,1
17,21307,Tupiratins,1142,1
17,22081,Wanderlandia,368,1
17,22107,Xambioa,342,1
21,55,Acailandia,7424,1
21,105,Afonso Cunha,7374,1
21,154,agua Doce do Maranhao,7325,1
21,204,Alcantara,7275,1
21,303,Aldeias Altas,7176,1
21,402,Altamira do Maranhao,7077,1
21,436,Alto Alegre do Maranhao,7043,1
21,477,Alto Alegre do Pindare,7002,1
21,501,Alto Parnaiba,6978,1
21,550,Amapa do Maranhao,6929,1
21,600,Amarante do Maranhao,6879,2
21,709,Anajatuba,6770,1
21,808,Anapurus,6671,1
21,832,Apicum-Acu,6647,1
21,873,Araguana,6606,1
21,907,Araioses,6572,1
21,956,Arame,6523,1
21,1004,Arari,6475,1
21,1103,Axixa,6376,1
21,1202,Bacabal,6277,1
21,1251,Bacabeira,6228,1
21,1301,Bacuri,6178,1
21,1350,Bacurituba,6129,1
21,1400,Balsas,6079,1
21,1509,Barao de Grajau,5970,1
21,1608,Barra do Corda,5871,1
21,1707,Barreirinhas,5772,1
21,1731,Belagua,5748,1
21,1772,Bela Vista do Maranhao,5707,1
21,1806,Benedito Leite,5673,1
21,1905,Bequimao,5574,1
21,1939,Bernardo do Mearim,5540,1
21,1970,Boa Vista do Gurupi,5509,1
21,2002,Bom Jardim,5477,1
21,2036,Bom Jesus das Selvas,5443,1
21,2077,Bom Lugar,5402,1
21,2101,Brejo,5378,1
21,2150,Brejo de Areia,5329,1
21,2200,Buriti,5279,1
21,2309,Buriti Bravo,5170,1
21,2325,Buriticupu,5154,1
21,2358,Buritirana,5121,1
21,2374,Cachoeira Grande,5105,1
21,2408,Cajapio,5071,1
21,2507,Cajari,4972,1
21,2556,Campestre do Maranhao,4923,1
21,2606,Candido Mendes,4873,1
21,2705,Cantanhede,4774,1
21,2754,Capinzal do Norte,4725,1
21,2804,Carolina,4675,1
21,2903,Carutapera,4576,1
21,3000,Caxias,4479,1
21,3109,Cedral,4370,1
21,3125,Central do Maranhao,4354,1
21,3158,Centro do Guilherme,4321,1
21,3174,Centro Novo do Maranhao,4305,1
21,3208,Chapadinha,4271,1
21,3257,Cidelandia,4222,1
21,3307,Codo,4172,1
21,3406,Coelho Neto,4073,1
21,3505,Colinas,3974,1
21,3554,Conceicao do Lago-Acu,3925,1
21,3604,Coroata,3875,1
21,3703,Cururupu,3776,1
21,3752,Davinopolis,3727,1
21,3802,Dom Pedro,3677,1
21,3901,Duque Bacelar,3578,1
21,4008,Esperantinopolis,3471,1
21,4057,Estreito,3422,1
21,4073,Feira Nova do Maranhao,3406,1
21,4081,Fernando Falcao,3398,1
21,4099,Formosa da Serra Negra,3380,1
21,4107,Fortaleza dos Nogueiras,3372,1
21,4206,Fortuna,3273,1
21,4305,Godofredo Viana,3174,1
21,4404,Goncalves Dias,3075,1
21,4503,Governador Archer,2976,1
21,4552,Governador Edison Lobao,2927,1
21,4602,Governador Eugenio Barros,2877,1
21,4628,Governador Luiz Rocha,2851,1
21,4651,Governador Newton Bello,2828,1
21,4677,Governador Nunes Freire,2802,1
21,4701,Graca Aranha,2778,1
21,4800,Grajau,2679,1
21,4909,Guimaraes,2570,1
21,5005,Humberto de Campos,2474,1
21,5104,Icatu,2375,1
21,5153,Igarape do Meio,2326,1
21,5203,Igarape Grande,2276,1
21,5302,Imperatriz,2177,1
21,5351,Itaipava do Grajau,2128,1
21,5401,Itapecuru Mirim,2078,1
21,5427,Itinga do Maranhao,2052,1
21,5450,Jatoba,2029,1
21,5476,Jenipapo dos Vieiras,2003,1
21,5500,Joao Lisboa,1979,1
21,5609,Joselandia,1870,1
21,5658,Junco do Maranhao,1821,1
21,5708,Lago da Pedra,1771,1
21,5807,Lago do Junco,1672,1
21,5906,Lago Verde,1573,1
21,5922,Lagoa do Mato,1557,1
21,5948,Lago dos Rodrigues,1531,1
21,5963,Lagoa Grande do Maranhao,1516,1
21,5989,Lajeado Novo,1490,1
21,6003,Lima Campos,1476,1
21,6102,Loreto,1377,1
21,6201,Luis Domingues,1278,1
21,6300,Magalhaes de Almeida,1179,1
21,6326,Maracacume,1153,1
21,6359,Maraja do Sena,1120,1
21,6375,Maranhaozinho,1104,1
21,6409,Mata Roma,1070,1
21,6508,Matinha,971,1
21,6607,Matoes,872,1
21,6631,Matoes do Norte,848,1
21,6672,Milagres do Maranhao,807,1
21,6706,Mirador,773,1
21,6755,Miranda do Norte,724,1
21,6805,Mirinzal,674,1
21,6904,Moncao,575,1
21,7001,Montes Altos,478,1
21,7100,Morros,379,1
21,7209,Nina Rodrigues,270,1
21,7258,Nova Colinas,221,1
21,7308,Nova Iorque,171,1
